Rank,French,Spanish,Word_IPA_ES,Word_IPA_LATAM,Phrase_ES,Phrase_FR,Phrase_IPA_ES,Phrase_ES_LATAM,Phrase_FR_LATAM,Phrase_IPA_LATAM,Notes,Exercise_Suggestions
250,tard,tarde,/taɾde/,/taɾde/,Il est arrivé trop tard.,Llegó demasiado tarde.,/il est aɾibe tɾop tard./,Il est arrivé trop tard.,Llegó demasiado tarde.,/il est aɾibe tɾop tard./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
251,tôt,temprano,/tempɾano/,/tempɾano/,Elle se lève tôt.,Ella se levanta temprano.,/eʝe se lèbe tôt./,Elle se lève tôt.,Ella se levanta temprano.,/eʝe se lèbe tôt./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
252,presque,casi,/kasi/,/kasi/,Il a presque fini son travail.,Casi ha terminado su trabajo.,/il a pɾeske fini son trabail./,Il a presque fini son travail.,Casi ha terminado su trabajo.,/il a pɾeske fini son trabail./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
253,simple,simple,/simple/,/simple/,La solution est simple.,La solución es simple.,/la solution est simple./,La solution est simple.,La solución es simple.,/la solution est simple./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
254,complexe,complejo,/komplekso/,/komplekso/,Le problème est complexe.,El problema es complejo.,/le problème est komplekse./,Le problème est complexe.,El problema es complejo.,/le problème est komplekse./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
255,différent,diferente,/difeɾente/,/difeɾente/,Chaque personne est différente.,Cada persona es diferente.,/tʃake peɾsonne est differente./,Chaque personne est différente.,Cada persona es diferente.,/tʃake peɾsonne est differente./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
256,identique,idéntico,/identiko/,/identiko/,Les jumeaux sont identiques.,Los gemelos son idénticos.,/les ksumeauks sont identikes./,Les jumeaux sont identiques.,Los gemelos son idénticos.,/les ksumeauks sont identikes./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
257,similaire,similar,/similaɾ/,/similaɾ/,Leur opinion est similaire.,Su opinión es similar.,/leuɾ opinion est similaire./,Leur opinion est similaire.,Su opinión es similar.,/leuɾ opinion est similaire./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
258,même,mismo,/mismo/,/mismo/,Nous avons les mêmes idées.,Tenemos las mismas ideas.,/nous abons les mêmes idees./,Nous avons les mêmes idées.,Tenemos las mismas ideas.,/nous abons les mêmes idees./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
259,diffus,difuso,/difuso/,/difuso/,La lumière est diffuse.,La luz es difusa.,/la lumière est diffuse./,La lumière est diffuse.,La luz es difusa.,/la lumière est diffuse./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
260,net,nítido,/nitido/,/nitido/,L'image est nette.,La imagen es nítida.,/l'imakse est nette./,L'image est nette.,La imagen es nítida.,/l'imakse est nette./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
261,flou,borroso,/boɾoso/,/boɾoso/,La photo est floue.,La foto está borrosa.,/la poto est floue./,La photo est floue.,La foto está borrosa.,/la poto est floue./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
262,profond,profundo,/pɾofundo/,/pɾofundo/,Le lac est profond.,El lago es profundo.,/le lak est profond./,Le lac est profond.,El lago es profundo.,/le lak est profond./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
263,superficiel,superficial,/supeɾfiθial/,/supeɾfisial/,La réflexion est superficielle.,La reflexión es superficial.,/la refleksion est superfiθieʝe./,La réflexion est superficielle.,La reflexión es superficial.,/la refleksion est superfisieʝe./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
264,utile,útil,/util/,/util/,C'est un conseil utile.,Es un consejo útil.,/k'est un konseil utile./,C'est un conseil utile.,Es un consejo útil.,/k'est un konseil utile./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
265,inutile,inútil,/inutil/,/inutil/,Cette information est inutile.,Esta información es inútil.,/θette infoɾmation est inutile./,Cette information est inutile.,Esta información es inútil.,/sette infoɾmation est inutile./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
266,important,importante,/impoɾtante/,/impoɾtante/,Il a un rôle important.,Tiene un papel importante.,/il a un rôle important./,Il a un rôle important.,Tiene un papel importante.,/il a un rôle important./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
267,secondaire,secundario,/sekundaɾio/,/sekundaɾio/,Ce détail est secondaire.,Ese detalle es secundario.,/θe detail est sekondaire./,Ce détail est secondaire.,Ese detalle es secundario.,/se detail est sekondaire./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
268,principal,principal,/pɾinθipal/,/pɾinsipal/,Le problème principal est compliqué.,El problema principal es complicado.,/le problème pɾinθipal est komplike./,Le problème principal est compliqué.,El problema principal es complicado.,/le problème pɾinsipal est komplike./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
269,simultané,simultáneo,/simultaneo/,/simultaneo/,Les événements se produisent simultanément.,Los eventos ocurren simultáneamente.,/les ebenements se pɾoduisent simultanement./,Les événements se produisent simultanément.,Los eventos ocurren simultáneamente.,/les ebenements se pɾoduisent simultanement./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
270,sérieux,serio,/seɾio/,/seɾio/,C'est un étudiant sérieux.,Es un estudiante serio.,/k'est un etudiant serieuks./,C'est un étudiant sérieux.,Es un estudiante serio.,/k'est un etudiant serieuks./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
271,drôle,divertido,/dibeɾtido/,/dibeɾtido/,Cette histoire est drôle.,Esta historia es divertida.,/θette istoiɾe est drôle./,Cette histoire est drôle.,Esta historia es divertida.,/sette istoiɾe est drôle./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
272,bizarre,extraño,/ekstɾaɲo/,/ekstɾaɲo/,Il a un comportement bizarre.,Tiene un comportamiento extraño.,/il a un kompoɾtement biθare./,Il a un comportement bizarre.,Tiene un comportamiento extraño.,/il a un kompoɾtement bisare./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
273,normal,normal,/noɾmal/,/noɾmal/,C'est une journée normale.,Es un día normal.,/k'est une ksouɾnee normale./,C'est une journée normale.,Es un día normal.,/k'est une ksouɾnee normale./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
274,habituel,habitual,/abitual/,/abitual/,Son trajet habituel est court.,Su trayecto habitual es corto.,/son tɾakset abituel est kourt./,Son trajet habituel est court.,Su trayecto habitual es corto.,/son tɾakset abituel est kourt./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
275,rare,raro,/raɾo/,/raɾo/,C'est un événement rare.,Es un evento raro.,/k'est un ebenement rare./,C'est un événement rare.,Es un evento raro.,/k'est un ebenement rare./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
276,commun,común,/komun/,/komun/,Ils partagent un intérêt commun.,Comparten un interés común.,/ils paɾtaksent un interêt kommun./,Ils partagent un intérêt commun.,Comparten un interés común.,/ils paɾtaksent un interêt kommun./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
277,possible,posible,/posible/,/posible/,Tout est possible.,Todo es posible.,/tout est possible./,Tout est possible.,Todo es posible.,/tout est possible./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
278,impossible,imposible,/imposible/,/imposible/,C'est impossible de prédire l'avenir.,Es imposible predecir el futuro.,/k'est impossible de pɾediɾe l'abenir./,C'est impossible de prédire l'avenir.,Es imposible predecir el futuro.,/k'est impossible de pɾediɾe l'abenir./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
279,probable,probable,/pɾobable/,/pɾobable/,C'est une issue probable.,Es un resultado probable.,/k'est une issue probable./,C'est une issue probable.,Es un resultado probable.,/k'est une issue probable./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
280,certain,cierto,/θieɾto/,/sieɾto/,Il est certain de sa victoire.,Está cierto de su victoria.,/il est θeɾtain de sa biktoire./,Il est certain de sa victoire.,Está cierto de su victoria.,/il est seɾtain de sa biktoire./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
281,incertain,incierto,/inθieɾto/,/insieɾto/,Le résultat reste incertain.,El resultado sigue siendo incierto.,/le resultat reste inθertain./,Le résultat reste incertain.,El resultado sigue siendo incierto.,/le resultat reste insertain./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
282,vrai,verdadero,/beɾdadeɾo/,/beɾdadeɾo/,C'est la vérité vraie.,Es la verdad verdadera.,/k'est la beɾite braie./,C'est la vérité vraie.,Es la verdad verdadera.,/k'est la beɾite braie./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
283,faux,falso,/falso/,/falso/,Cette information est fausse.,Esa información es falsa.,/θette infoɾmation est fausse./,Cette information est fausse.,Esa información es falsa.,/sette infoɾmation est fausse./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
284,exact,exacto,/eksakto/,/eksakto/,La mesure est exacte.,La medida es exacta.,/la mesuɾe est eksakte./,La mesure est exacte.,La medida es exacta.,/la mesuɾe est eksakte./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
285,approximatif,aproximado,/apɾoksimado/,/apɾoksimado/,Le calcul est approximatif.,El cálculo es aproximado.,/le kalkul est approksimatif./,Le calcul est approximatif.,El cálculo es aproximado.,/le kalkul est approksimatif./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
286,optimal,óptimo,/optimo/,/optimo/,C'est la solution optimale.,Es la solución óptima.,/k'est la solution optimale./,C'est la solution optimale.,Es la solución óptima.,/k'est la solution optimale./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
287,minime,mínimo,/minimo/,/minimo/,Les dégâts sont minimes.,Los daños son mínimos.,/les degâts sont minimes./,Les dégâts sont minimes.,Los daños son mínimos.,/les degâts sont minimes./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
288,maximal,máximo,/maksimo/,/maksimo/,La vitesse maximale est atteinte.,Se alcanza la velocidad máxima.,/la bitesse maksimale est atteinte./,La vitesse maximale est atteinte.,Se alcanza la velocidad máxima.,/la bitesse maksimale est atteinte./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
289,essentiel,esencial,/esenθial/,/esensial/,Il est essentiel de comprendre.,Es esencial comprender.,/il est essentiel de komprendre./,Il est essentiel de comprendre.,Es esencial comprender.,/il est essentiel de komprendre./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
290,substantiel,sustancial,/sustanθial/,/sustansial/,Il y a un changement substantiel.,Hay un cambio sustancial.,/il i a un tʃanksement substantiel./,Il y a un changement substantiel.,Hay un cambio sustancial.,/il i a un tʃanksement substantiel./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
291,minuscule,minúsculo,/minuskulo/,/minuskulo/,La quantité est minuscule.,La cantidad es minúscula.,/la kantite est minuskule./,La quantité est minuscule.,La cantidad es minúscula.,/la kantite est minuskule./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
292,illimité,ilimitado,/ilimitado/,/ilimitado/,L'accès est illimité.,El acceso es ilimitado.,/l'akkès est iʝimite./,L'accès est illimité.,El acceso es ilimitado.,/l'akkès est iʝimite./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
293,limité,limitado,/limitado/,/limitado/,Le temps est limité.,El tiempo es limitado.,/le temps est limite./,Le temps est limité.,El tiempo es limitado.,/le temps est limite./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
